BCV	text	func_morph	form_morph	strongs	lemma	normalized
John 1:9	ἄνθρωπον,	N-ASM	N-ASM	444	ἄνθρωπος	ἄνθρωπον	
John 1:9	ἐρχόμενον	V-PNP-ASM	V-PNP-ASM	2064&5740	ἔρχομαι	ἐρχόμενον	
John 1:9	εἰς	PREP	PREP	1519	εἰς	εἰς	
John 1:9	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
John 1:9	κόσμον.	N-ASM	N-ASM	2889	κόσμος	κόσμον	
John 1:10	ἐν	PREP	PREP	1722	ἐν	ἐν	
John 1:10	τῷ	T-DSM	T-DSM	3588	ὁ	τῷ	
John 1:10	κόσμῳ	N-DSM	N-DSM	2889	κόσμος	κόσμῳ	
John 1:10	ἦν,	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
John 1:10	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:10	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:10	κόσμος	N-NSM	N-NSM	2889	κόσμος	κόσμος	
John 1:10	δι’	PREP	PREP	1223	διά	δι’	
John 1:10	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:10	ἐγένετο,	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
John 1:10	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:10	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
John 1:10	κόσμος	N-NSM	N-NSM	2889	κόσμος	κόσμος	
John 1:10	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:10	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
John 1:10	ἔγνω.	V-2AAI-3S	V-2AAI-3S	1097&5627	γινώσκω	ἔγνω	
John 1:11	εἰς	PREP	PREP	1519	εἰς	εἰς	
John 1:11	τὰ	T-APN	T-APN	3588	ὁ	τά	
John 1:11	ἴδια	A-APN	A-APN	2398	ἴδιος	ἴδια	
John 1:11	ἦλθεν,	V-2AAI-3S	V-2AAI-3S	2064&5627	ἔρχομαι	ἦλθεν	
John 1:11	καὶ	CONJ	CONJ	2532	καί	καί	
John 1:11	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
John 1:11	ἴδιοι	A-NPM	A-NPM	2398	ἴδιος	ἴδιοι	
John 1:11	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:11	οὐ	PRT-N	PRT-N	3756	οὐ	οὐ	
John 1:11	παρέλαβον.	V-2AAI-3P	V-2AAI-3P	3880&5627	παραλαμβάνω	παρέλαβον	
John 1:12	ὅσοι	K-NPM	K-NPM	3745	ὅσος	ὅσοι	
John 1:12	δὲ	CONJ	CONJ	1161	δέ	δέ	
John 1:12	ἔλαβον	V-2AAI-3P	V-2AAI-3P	2983&5627	λαμβάνω	ἔλαβον	
John 1:12	αὐτόν,	P-ASM	P-ASM	846	αὐτός	αὐτόν	
John 1:12	ἔδωκεν	V-AAI-3S	V-AAI-3S	1325&5656	δίδωμι	ἔδωκεν	
John 1:12	αὐτοῖς	P-DPM	P-DPM	846	αὐτός	αὐτοῖς	
John 1:12	ἐξουσίαν	N-ASF	N-ASF	1849	ἐξουσία	ἐξουσίαν	
John 1:12	τέκνα	N-NPN	N-NPN	5043	τέκνον	τέκνα	
John 1:12	Θεοῦ	N-GSM	N-GSM	2316	θεός	Θεοῦ	
John 1:12	γενέσθαι,	V-2ADN	V-2ADN	1096&5635	γίνομαι	γενέσθαι	
John 1:12	τοῖς	T-DPM	T-DPM	3588	ὁ	τοῖς	
John 1:12	πιστεύουσιν	V-PAP-DPM	V-PAP-DPM	4100&5723	πιστεύω	πιστεύουσιν	
John 1:12	εἰς	PREP	PREP	1519	εἰς	εἰς	
John 1:12	τὸ	T-ASN	T-ASN	3588	ὁ	τό	
John 1:12	ὄνομα	N-ASN	N-ASN	3686	ὄνομα	ὄνομα	
John 1:12	αὐτοῦ,	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
John 1:13	οἳ	R-NPM	R-NPM	3739	ὅς	οἵ	
John 1:13	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
John 1:13	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
John 1:13	αἱμάτων	N-GPN	N-GPN	129	αἷμα	αἱμάτων	
John 1:13	οὐδὲ	CONJ-N	CONJ-N	3761	οὐδέ	οὐδέ	
John 1:13	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
John 1:13	θελήματος	N-GSN	N-GSN	2307	θέλημα	θελήματος	
John 1:13	σαρκὸς	N-GSF	N-GSF	4561	σάρξ	σαρκός	
John 1:13	οὐδὲ	CONJ-N	CONJ-N	3761	οὐδέ	οὐδέ	
John 1:13	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
John 1:13	θελήματος	N-GSN	N-GSN	2307	θέλημα	θελήματος	
John 1:13	ἀνδρὸς	N-GSM	N-GSM	435	ἀνήρ	ἀνδρός	
John 1:13	ἀλλ’	CONJ	CONJ	235	ἀλλά	ἀλλ’	
John 1:13	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
John 1:13	Θεοῦ	N-GSM	N-GSM	2316	θεός	Θεοῦ	
John 1:13	ἐγεννήθησαν.	V-API-3P	V-API-3P	1080&5681	γεννάω	ἐγεννήθησαν	
John 1:14	Καὶ	CONJ	CONJ	2532	καί	Καί	
John 1:14	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
